Area,GID,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020
Central,GBR.1.1.1.1_1,9313,9351,9387,9385,9424,9481,9558,9644,9731,9829,9909,9977,10043,10107,10164,10204,10255,10309,10360,10409,10455
Keppel,GBR.1.1.1.10_1,11744,11758,11763,11721,11745,11781,11878,11963,12045,12130,12218,12273,12322,12373,12406,12442,12466,12506,12533,12566,12576
Kingstone,GBR.1.1.1.11_1,10102,10131,10127,10150,10188,10237,10322,10411,10519,10610,10700,10779,10851,10908,10972,11023,11070,11122,11179,11235,11275
Monk Bretton,GBR.1.1.1.12_1,11807,11777,11821,11923,11972,12041,12050,12158,12279,12417,12505,12602,12656,12709,12779,12876,12961,13037,13100,13081,13129
North East,GBR.1.1.1.13_1,11950,11942,11970,11968,12005,12073,12198,12306,12432,12554,12665,12755,12825,12905,12978,13052,13100,13161,13207,13309,13356
Old Town,GBR.1.1.1.14_1,10972,10972,10992,11017,11070,11130,11208,11302,11411,11523,11631,11702,11768,11856,11911,11969,12035,12090,12147,12188,12226
Penistone East,GBR.1.1.1.15_1,12958,12953,12956,12995,13027,13096,13192,13310,13437,13552,13682,13781,13866,13926,14008,14070,14146,14220,14281,14339,14386
Penistone West,GBR.1.1.1.16_1,10424,10480,10511,10545,10596,10657,10743,10840,10944,11050,11139,11230,11313,11356,11428,11477,11531,11591,11653,11718,11759
Rockingham,GBR.1.1.1.17_1,11201,11288,11323,11353,11395,11461,11553,11656,11771,11880,11982,12070,12151,12244,12318,12378,12439,12499,12552,12595,12635
Royston,GBR.1.1.1.18_1,9964,9982,10002,10041,10083,10139,10201,10303,10395,10512,10595,10670,10733,10788,10847,10906,10964,11026,11079,11106,11143
St Helens,GBR.1.1.1.19_1,10243,10300,10310,10291,10313,10364,10500,10588,10707,10781,10894,10984,11076,11125,11167,11214,11246,11289,11337,11437,11482
Cudworth,GBR.1.1.1.2_1,10946,10979,11003,11053,11100,11158,11284,11392,11505,11613,11720,11802,11876,11947,12005,12052,12096,12149,12202,12291,12338
Stairfoot,GBR.1.1.1.20_1,11230,11215,11242,11291,11347,11415,11490,11597,11703,11807,11907,11989,12071,12139,12192,12258,12305,12367,12430,12484,12518
Wath,GBR.1.1.1.21_1,15280,15218,15224,15216,15238,15277,15381,15498,15603,15723,15816,15902,15977,16049,16101,16159,16186,16233,16268,16319,16342
Wombwell,GBR.1.1.1.22_1,9908,9935,9976,10001,10042,10102,10152,10245,10340,10478,10550,10636,10705,10752,10805,10862,10932,10989,11032,11059,11112
Worsbrough,GBR.1.1.1.23_1,10352,10405,10405,10415,10450,10519,10600,10700,10810,10911,11016,11104,11191,11245,11301,11361,11432,11486,11527,11562,11604
Darfield,GBR.1.1.1.3_1,9512,9526,9528,9548,9587,9641,9696,9786,9890,9989,10076,10151,10215,10280,10336,10393,10455,10512,10553,10562,10590
Darton East,GBR.1.1.1.4_1,9778,9782,9805,9842,9886,9939,10010,10099,10197,10302,10376,10450,10500,10560,10618,10674,10728,10775,10825,10873,10910
Darton West,GBR.1.1.1.5_1,9583,9637,9670,9686,9723,9781,9864,9958,10049,10138,10231,10306,10371,10438,10500,10547,10607,10661,10711,10757,10798
Dearne South,GBR.1.1.1.6_1,10234,10286,10325,10356,10395,10459,10547,10645,10743,10848,10941,11021,11097,11157,11221,11266,11328,11386,11445,11480,11517
Dodworth,GBR.1.1.1.7_1,8413,8407,8459,8495,8540,8584,8645,8723,8805,8901,8964,9032,9100,9141,9183,9239,9285,9326,9368,9406,9435
Hoober,GBR.1.1.1.8_1,13437,13379,13311,13419,13400,13448,13482,13577,13692,13809,13893,13969,14026,14091,14134,14195,14260,14310,14354,14321,14345
Hoyland Milton,GBR.1.1.1.9_1,9271,9286,9327,9301,9385,9434,9502,9589,9674,9742,9825,9891,9949,9988,10033,10079,10138,10179,10230,10300,10337
Baildon,GBR.1.10.1.1_1,13942,13991,14129,14253,14401,14559,14714,14937,15154,15378,15586,15786,15955,16129,16286,16429,16591,16760,16926,17086,17244
